timestamp,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,rc0,rc1,rc2,rc3,vol,cur_raw,cur,power,vel,,,,,,,,,,,,,,,,
252.463412046,6.2500095367,0.6131821871,0.3792245686,1.2797595263,-2.0721981525,12.9898700714,0,0,0,1608,1487,1543,1524,15.3179998398,738,11.03515625,169.03652167,314.5728169949,,,,,,,,,,,,,,,,
252.566154003,5.8394126892,0.6012415886,0.4741899967,0.3768556118,-0.1156295165,8.2129535675,0,0,0,1611,1488,1544,1499,15.3179998398,726,10.44921875,160.061131139,294.4702368476,,,,,,,,,,,,,,,,
252.664279938,5.2310023308,0.5753919482,0.5409181714,-0.7414054275,-2.0575070381,12.6977357864,0,0,0,1617,1486,1542,1423,15.3350000381,723,10.302734375,157.992432033,264.5139587387,,,,,,,,,,,,,,,,
252.766847134,4.5233049393,0.5272821784,0.5535386801,0.9586319923,3.0594842434,10.0725851059,0,0,0,1617,1487,1528,1332,15.3350000381,720,10.15625,155.746094137,229.3726179164,,,,,,,,,,,,,,,,
252.864947081,4.0386214256,0.4820889831,0.5240195394,-3.2626779079,-0.0713199377,15.223274231,0,0,0,1615,1489,1517,1289,15.3500003815,764,12.3046875,188.876957819,205.0455393603,,,,,,,,,,,,,,,,
252.963351965,3.4589562416,0.3911147714,0.4410509169,0.5215557814,-5.7890691757,8.3929452896,0,0,0,1604,1486,1512,1265,15.3500003815,767,12.451171875,191.125493031,175.4414072918,,,,,,,,,,,,,,,,
253.065530062,2.9537732601,0.2881234288,0.4024250209,4.6440854073,-3.3676748276,7.8127059937,0,0,0,1601,1487,1512,1263,15.3559999466,827,15.380859375,236.188475741,149.7475999787,,,,,,,,,,,,,,,,
253.163964033,2.553668499,0.1675039679,0.325833112,4.6511220932,-6.358402729,7.5418605804,0,0,0,1591,1487,1512,1263,15.3559999466,819,14.990234375,230.190038262,128.9907709773,,,,,,,,,,,,,,,,
253.266389132,2.2062926292,0.0200303439,0.2911815941,-1.5859999657,-0.2446903735,10.4801864624,0,0,0,1575,1487,1512,1261,15.3579998016,769,12.548828125,192.724899854,111.2757284977,,,,,,,,,,,,,,,,
253.364458084,1.885948658,-0.1347730011,0.2313540429,1.2901073694,-1.3912149668,8.2482070923,0,0,0,1562,1487,1513,1261,15.3579998016,736,10.9375,167.97812283,95.2429891856,,,,,,,,,,,,,,,,
253.467046976,1.5403653383,-0.2625671923,0.1756780893,-0.0482188202,-1.5729295015,11.7195825577,0,0,0,1557,1487,1514,1263,15.3719997406,721,10.205078125,156.87245829,78.6213981205,,,,,,,,,,,,,,,,
253.565495014,1.2239732742,-0.3505587876,0.1218189448,-1.7477715015,1.1666100025,8.2062301636,0,0,0,1556,1486,1515,1268,15.3719997406,700,9.1796875,141.110153869,63.9500174908,,,,,,,,,,,,,,,,
253.667778969,0.9510713816,-0.4083555937,0.1041729078,3.9409255981,-3.5183777809,9.0050935745,0,0,0,1550,1486,1515,1285,15.3719997406,762,12.20703125,187.646481208,52.0130526533,,,,,,,,,,,,,,,,
253.765978098,0.7934471965,-0.4420509636,0.0672551394,-0.9898330569,3.2645640373,11.7087583542,0,0,0,1534,1489,1561,1456,15.3719997406,971,22.412109375,344.518939499,45.5381917139,,,,,,,,,,,,,,,,
253.868359089,0.4992578328,-0.4970448017,0.1619488746,3.5370545387,-1.4331357479,7.6697525978,0,0,0,1493,1492,1562,1523,15.3780002594,737,10.986328125,168.947756756,36.1434418842,,,,,,,,,,,,,,,,
253.966743946,0.3508387208,-0.4700511992,0.1657334566,4.5227980614,-0.4302523434,9.4884347916,0,0,0,1491,1562,1562,1520,15.3780002594,791,13.623046875,209.495218378,30.4755441509,,,,,,,,,,,,,,,,
254.065231085,0.1866331697,-0.3962538838,0.139150992,0.8692421913,0.9648140669,13.6610164642,0,0,0,1490,1643,1562,1520,15.3780002594,848,16.40625,252.295316756,22.9789076673,,,,,,,,,,,,,,,,
254.16736412,-0.015537262,-0.2938407362,0.1791352481,0.7643215656,-0.3053623736,8.9408874512,0,0,0,1489,1742,1562,1520,15.3660001755,831,15.576171875,239.343459765,17.2244899687,,,,,,,,,,,,,,,,
254.265908957,-0.3439629674,-0.1234039888,0.2100832015,1.7561507225,-0.3087221384,11.5100841522,0,0,0,1489,1755,1562,1520,15.3660001755,823,15.185546875,233.341115946,21.075698028,,,,,,,,,,,,,,,,
254.368094921,-0.7642291784,0.0780117959,0.1862566024,-0.1262842119,0.2326994985,10.7467689514,0,0,0,1489,1762,1562,1520,15.3660001755,842,16.11328125,247.596682515,39.5228920803,,,,,,,,,,,,,,,,
254.466407061,-1.2187917233,0.297919184,0.1633524597,0.5515894294,0.4448686242,13.841545105,0,0,0,1489,1756,1562,1520,15.3660001755,823,15.185546875,233.341115946,63.2632027934,,,,,,,,,,,,,,,,
254.568728924,-1.6957666874,0.521351099,0.1541436464,1.5637203455,1.1801691055,10.292963028,0,0,0,1489,1753,1562,1520,15.3599996567,874,17.67578125,271.499993932,89.0392033074,,,,,,,,,,,,,,,,
254.667431116,-2.1643953323,0.7298843265,0.1554822177,2.2865936756,-0.1715680063,9.1270265579,0,0,0,1489,1752,1562,1520,15.3599996567,847,16.357421875,251.249994384,114.4717542079,,,,,,,,,,,,,,,,
254.769336939,-2.5810797215,0.9188311696,0.1665723622,1.2185344696,1.3491556644,12.2016162872,0,0,0,1489,1751,1562,1520,15.3470001221,805,14.306640625,219.564015419,137.2403876308,,,,,,,,,,,,,,,,
254.867880106,-2.9400708675,1.0630652905,0.1570740789,1.1898679733,1.1143282652,11.1627883911,0,0,0,1489,1751,1562,1520,15.3470001221,823,15.185546875,233.052589745,156.5151492991,,,,,,,,,,,,,,,,
254.97030592,-3.2091119289,1.1763440371,0.1651554108,-0.2512040436,0.4428318143,11.7124223709,0,0,0,1489,1750,1562,1520,15.343000412,819,14.990234375,229.995172192,171.0954483289,,,,,,,,,,,,,,,,
255.068947077,-3.4107921124,1.2730933428,0.1579340249,-1.153011322,1.3328723908,7.5723323822,0,0,0,1489,1748,1562,1520,15.343000412,823,15.185546875,232.99185196,182.2032700702,,,,,,,,,,,,,,,,
255.170838118,-3.5619928837,1.3452094793,0.1606263816,2.0063707829,1.6496642828,12.2951335907,0,0,0,1489,1747,1562,1520,15.3420000076,830,15.52734375,238.220507931,190.5464686185,,,,,,,,,,,,,,,,
255.269422054,-3.6617028713,1.3948053122,0.1713333428,0.4195532501,-0.057784345,10.0551700592,0,0,0,1489,1747,1562,1520,15.3420000076,797,13.916015625,213.499511825,196.1052325346,,,,,,,,,,,,,,,,
255.36749506,-3.7497916222,1.4422640801,0.1634771228,-0.8442143798,0.9993220568,8.5194263458,0,0,0,1489,1749,1562,1520,15.3520002365,803,14.208984375,218.136331485,201.045937887,,,,,,,,,,,,,,,,
255.469895124,-3.8202464581,1.4915680885,0.1596434116,-0.105363518,0.9518997073,10.0523910522,0,0,0,1489,1750,1562,1520,15.3520002365,795,13.818359375,212.139456393,205.2105283735,,,,,,,,,,,,,,,,
255.568259001,-3.8861787319,1.5356513262,0.1711005419,-0.0920424312,1.3017208576,8.7415218353,0,0,0,1489,1747,1562,1520,15.3500003815,756,11.9140625,182.88086392,209.1045523618,,,,,,,,,,,,,,,,
255.670443058,-3.9279837608,1.5675265789,0.1581402272,0.1947063655,0.1747341007,10.2774763107,0,0,0,1489,1744,1562,1520,15.3500003815,799,14.013671875,215.109868627,211.6081539788,,,,,,,,,,,,,,,,
255.769020081,-3.9690275192,1.5936756134,0.164660424,-0.3071904778,2.1213922501,9.0963821411,0,0,0,1489,1744,1562,1520,15.3479995728,815,14.794921875,227.072454617,214.0098973421,,,,,,,,,,,,,,,,
255.871505022,-3.9782693386,1.6099550724,0.1733695716,-0.7231668234,2.2098281384,11.3835334778,0,0,0,1487,1714,1562,1522,15.3479995728,802,14.16015625,217.330072076,214.759396034,,,,,,,,,,,,,,,,
255.969579935,-3.9614989758,1.6101008654,0.1771402657,-0.1681364924,-0.3029766083,9.302195549,0,0,0,1486,1641,1562,1522,15.3479995728,800,14.0625,215.831243992,213.9934438584,,,,,,,,,,,,,,,,
256.072082996,-3.7843327522,1.5626536608,0.1780987233,0.5678498149,0.1274962574,9.5038671494,0,0,0,1486,1574,1562,1531,15.3479995728,855,16.748046875,257.049016283,204.9071740949,,,,,,,,,,,,,,,,
256.170763969,-3.4925963879,1.4548351765,0.193617329,-2.1802930832,-0.7348842621,11.5982370377,0,0,0,1486,1572,1562,1548,15.3459997177,871,17.529296875,269.004584895,189.4219007246,,,,,,,,,,,,,,,,
256.272874117,-3.047262907,1.2733192444,0.2147705853,0.9391658306,2.4329977036,10.4120492935,0,0,0,1486,1570,1562,1585,15.3459997177,876,17.7734375,272.751166858,165.4786959615,,,,,,,,,,,,,,,,
256.370857954,-2.5749995709,1.0672929287,0.1711371988,1.283395648,1.4815745354,10.4425926208,0,0,0,1486,1570,1562,1600,15.3360004425,835,15.771484375,241.871491354,139.6336718578,,,,,,,,,,,,,,,,
256.473643064,-2.1467168331,0.877512157,0.155317381,1.3801184893,0.5754377842,10.7895145416,0,0,0,1486,1577,1562,1552,15.3360004425,789,13.525390625,207.42539661,116.2168687846,,,,,,,,,,,,,,,,
256.571645021,-1.8252493143,0.7252509594,0.1420747936,-0.6444829106,1.3321454525,9.9406309128,0,0,0,1486,1583,1549,1558,15.3280000687,700,9.1796875,140.706250631,98.4595000551,,,,,,,,,,,,,,,,
256.670046091,-1.6247265339,0.6183671951,-0.0189113338,0.2464150339,-0.0643093958,9.5823554993,0,0,0,1486,1580,1547,1591,15.3280000687,849,16.455078125,252.22343863,86.9262897011,,,,,,,,,,,,,,,,
256.77274394,-1.4528942108,0.5272777081,-0.0166153256,-0.4908309281,0.2290580422,10.9320440292,0,0,0,1486,1582,1547,1602,15.3479995728,735,10.888671875,167.119331286,77.2851770762,,,,,,,,,,,,,,,,
256.870748043,-1.3442912102,0.4661593437,-0.0208992325,0.6376596689,0.2923558354,7.8809833527,0,0,0,1486,1580,1544,1523,15.3479995728,776,12.890625,197.845306993,71.1487907392,,,,,,,,,,,,,,,,
256.973096132,-1.270532608,0.4141891003,0.0015890639,-0.0164209343,0.637309134,11.2236146927,0,0,0,1486,1586,1544,1524,15.3459997177,821,15.087890625,231.538765272,66.8170682521,,,,,,,,,,,,,,,,
257.071314096,-1.2424246073,0.3600968719,0.020159319,0.8395590186,-0.930688858,9.599855423,0,0,0,1494,1688,1544,1524,15.3459997177,799,14.013671875,215.053804638,64.6856835034,,,,,,,,,,,,,,,,
257.174024105,-1.2928364277,0.3330119252,0.0549866557,1.7468081713,1.3810263872,9.314453125,0,0,0,1492,1815,1545,1523,15.3420000076,753,11.767578125,180.538183683,66.8084295471,,,,,,,,,,,,,,,,
